,in_sample,forward_days,metric,increasing,decreasing,all,>1,<-1
0,True,1,mean,-0.003401565301559606,0.0019842598444897996,0.00033911795490134436,,
1,True,1,annualized_mean,-0.8571944559930207,0.5000334808114295,0.08545772463513877,,
2,True,1,stdev,0.01325589244110518,0.012508270432555412,0.010831919925791383,,
3,True,1,annualized_stdev,0.21043076883231138,0.19856263737650362,0.1719513980700553,,
4,True,1,count,8.0,7.0,12797.0,0.0,0.0
0,True,5,mean,-0.0032321990409573675,0.011066475029698122,0.0016782003070682707,,
1,True,5,annualized_mean,-0.1680743501297831,0.5754567015443023,0.08726641596755008,,
2,True,5,stdev,0.010666461401850976,0.024281085127778733,0.023444737053957703,,
3,True,5,annualized_stdev,0.0769169470242624,0.17509339490422463,0.1690624031756301,,
4,True,5,count,8.0,7.0,12797.0,0.0,0.0
0,True,21,mean,-0.010875730117843707,0.023128295715424328,0.007061856023749616,,
1,True,21,annualized_mean,-0.13050876141412449,0.27753954858509194,0.0847422722849954,,
2,True,21,stdev,0.03703889721437881,0.036541002071954105,0.045948626087583495,,
3,True,21,annualized_stdev,0.1283065036632509,0.12658174429620825,0.15917070984335874,,
4,True,21,count,8.0,7.0,12797.0,0.0,0.0
0,False,1,mean,-0.006367929035806766,0.002834322139432885,0.00033911795490134436,,
1,False,1,annualized_mean,-1.6047181170233051,0.7142491791370871,0.08545772463513877,,
2,False,1,stdev,0.021779112889338065,0.008790443154591135,0.010831919925791383,,
3,False,1,annualized_stdev,0.34573269888473945,0.13954395900658953,0.1719513980700553,,
4,False,1,count,35.0,27.0,12797.0,0.0,0.0
0,False,5,mean,-0.004979789162992303,0.007400621330465139,0.0016782003070682707,,
1,False,5,annualized_mean,-0.25894903647559975,0.38483230918418726,0.08726641596755008,,
2,False,5,stdev,0.03379942201585339,0.023566662840272208,0.023444737053957703,,
3,False,5,annualized_stdev,0.24373109831841167,0.16994162252434653,0.1690624031756301,,
4,False,5,count,35.0,27.0,12797.0,0.0,0.0
0,False,21,mean,-0.005767184590462682,0.007850593426838233,0.007061856023749616,,
1,False,21,annualized_mean,-0.06920621508555219,0.09420712112205878,0.0847422722849954,,
2,False,21,stdev,0.056578319639024086,0.04040461508329278,0.045948626087583495,,
3,False,21,annualized_stdev,0.19599304844332346,0.1399656923690538,0.15917070984335874,,
4,False,21,count,35.0,27.0,12797.0,0.0,0.0
