year,sp500_return_including_dividends,ust_3m_return,ust_return,bbb_corporate_return,sp500_wealth,ust_3m_wealth,ust_wealth,bbb_corporate_wealth,sp500_minus_ust_3m,sp500_minus_ust,sp500_minus_bbb_corporate,historical_risk_premium,inflation_rate,sp500_including_dividends_real_return,ust_3m_real_return,ust_real_return,bbb_corporate_real_return,source
1928,43.81%,3.08%,0.84%,3.22%, $           143.81 , $             103.08 , $         100.84 , $            103.22 ,40.73%,42.98%,40.59%,,-1.15%,45.49%,4.28%,2.01%,4.42%,http://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/histretSP.html
1929,-8.30%,3.16%,4.20%,3.02%, $           131.88 , $             106.34 , $         105.07 , $            106.33 ,-11.46%,-12.50%,-11.32%,,0.00%,-8.30%,3.16%,4.20%,3.02%,
1930,-25.12%,4.55%,4.54%,0.54%, $             98.75 , $             111.18 , $         109.85 , $            106.91 ,-29.67%,-29.66%,-25.66%,,-2.67%,-23.07%,7.42%,7.41%,3.30%,
1931,-43.84%,2.31%,-2.56%,-15.68%, $             55.46 , $             113.74 , $         107.03 , $              90.14 ,-46.15%,-41.28%,-28.16%,,-8.93%,-38.33%,12.34%,7.00%,-7.41%,
1932,-8.64%,1.07%,8.79%,23.59%, $             50.66 , $             114.96 , $         116.44 , $            111.41 ,-9.71%,-17.43%,-32.23%,,-10.30%,1.85%,12.68%,21.28%,37.78%,
1933,49.98%,0.96%,1.86%,12.97%, $             75.99 , $             116.06 , $         118.60 , $            125.86 ,49.02%,48.13%,37.02%,,-5.19%,58.20%,6.49%,7.43%,19.15%,
1934,-1.19%,0.28%,7.96%,18.82%, $             75.09 , $             116.39 , $         128.05 , $            149.54 ,-1.47%,-9.15%,-20.00%,,3.48%,-4.51%,-3.09%,4.33%,14.82%,
1935,46.74%,0.17%,4.47%,13.31%, $           110.18 , $             116.58 , $         133.78 , $            169.44 ,46.57%,42.27%,33.43%,,2.55%,43.09%,-2.33%,1.87%,10.49%,
1936,31.94%,0.17%,5.02%,11.38%, $           145.38 , $             116.78 , $         140.49 , $            188.73 ,31.77%,26.93%,20.56%,,1.03%,30.60%,-0.85%,3.94%,10.25%,
1937,-35.34%,0.28%,1.38%,-4.42%, $             94.00 , $             117.11 , $         142.43 , $            180.39 ,-35.61%,-36.72%,-30.92%,,3.73%,-37.66%,-3.33%,-2.26%,-7.85%,
1938,29.28%,0.07%,4.21%,9.24%, $           121.53 , $             117.18 , $         148.43 , $            197.05 ,29.22%,25.07%,20.05%,,-2.03%,31.96%,2.14%,6.37%,11.50%,
1939,-1.10%,0.05%,4.41%,7.98%, $           120.20 , $             117.24 , $         154.98 , $            212.78 ,-1.14%,-5.51%,-9.08%,,-1.30%,0.21%,1.36%,5.79%,9.41%,
1940,-10.67%,0.04%,5.40%,8.65%, $           107.37 , $             117.28 , $         163.35 , $            231.18 ,-10.71%,-16.08%,-19.32%,,0.72%,-11.31%,-0.68%,4.65%,7.87%,
1941,-12.77%,0.13%,-2.02%,5.01%, $             93.66 , $             117.43 , $         160.04 , $            242.76 ,-12.90%,-10.75%,-17.78%,,5.12%,-17.02%,-4.74%,-6.79%,-0.10%,
1942,19.17%,0.34%,2.29%,5.18%, $           111.61 , $             117.83 , $         163.72 , $            255.33 ,18.83%,16.88%,13.99%,,10.92%,7.44%,-9.54%,-7.78%,-5.18%,
1943,25.06%,0.38%,2.49%,8.04%, $           139.59 , $             118.28 , $         167.79 , $            275.88 ,24.68%,22.57%,17.02%,,5.97%,18.02%,-5.27%,-3.28%,1.96%,
1944,19.03%,0.38%,2.58%,6.57%, $           166.15 , $             118.73 , $         172.12 , $            293.99 ,18.65%,16.45%,12.46%,,1.64%,17.11%,-1.24%,0.93%,4.85%,
1945,35.82%,0.38%,3.80%,6.80%, $           225.67 , $             119.18 , $         178.67 , $            313.98 ,35.44%,32.02%,29.02%,,2.27%,32.80%,-1.85%,1.50%,4.43%,
1946,-8.43%,0.38%,3.13%,2.51%, $           206.65 , $             119.63 , $         184.26 , $            321.85 ,-8.81%,-11.56%,-10.94%,,8.48%,-15.58%,-7.46%,-4.93%,-5.50%,
1947,5.20%,0.60%,0.92%,0.26%, $           217.39 , $             120.35 , $         185.95 , $            322.70 ,4.60%,4.28%,4.94%,,14.39%,-8.03%,-12.05%,-11.78%,-12.35%,
1948,5.70%,1.05%,1.95%,3.44%, $           229.79 , $             121.61 , $         189.58 , $            333.79 ,4.66%,3.75%,2.27%,,7.69%,-1.84%,-6.17%,-5.33%,-3.95%,
1949,18.30%,1.12%,4.66%,5.38%, $           271.85 , $             122.96 , $         198.42 , $            351.74 ,17.19%,13.64%,12.93%,,-0.97%,19.46%,2.11%,5.69%,6.41%,
1950,30.81%,1.20%,0.43%,4.24%, $           355.60 , $             124.44 , $         199.27 , $            366.65 ,29.60%,30.38%,26.57%,,1.09%,29.40%,0.12%,-0.65%,3.12%,
1951,23.68%,1.52%,-0.30%,-0.19%, $           439.80 , $             126.33 , $         198.68 , $            365.95 ,22.16%,23.97%,23.87%,,7.86%,14.67%,-5.88%,-7.56%,-7.46%,
1952,18.15%,1.72%,2.27%,4.44%, $           519.62 , $             128.51 , $         203.19 , $            382.20 ,16.43%,15.88%,13.71%,,2.28%,15.52%,-0.54%,-0.01%,2.11%,
1953,-1.21%,1.89%,4.14%,1.62%, $           513.35 , $             130.94 , $         211.61 , $            388.39 ,-3.10%,-5.35%,-2.83%,,0.82%,-2.01%,1.07%,3.30%,0.80%,
1954,52.56%,0.94%,3.29%,6.16%, $           783.18 , $             132.17 , $         218.57 , $            412.31 ,51.62%,49.27%,46.41%,,0.31%,52.09%,0.63%,2.97%,5.83%,
1955,32.60%,1.73%,-1.34%,2.04%," $        1,038.47 ", $             134.45 , $         215.65 , $            420.74 ,30.87%,33.93%,30.55%,,-0.28%,32.97%,2.01%,-1.06%,2.33%,
1956,7.44%,2.63%,-2.26%,-2.35%," $        1,115.73 ", $             137.98 , $         210.79 , $            410.84 ,4.81%,9.70%,9.79%,,1.53%,5.83%,1.09%,-3.72%,-3.82%,
1957,-10.46%,3.23%,6.80%,-0.72%, $           999.05 , $             142.43 , $         225.11 , $            407.89 ,-13.68%,-17.25%,-9.74%,,3.34%,-13.35%,-0.11%,3.34%,-3.93%,
1958,43.72%,1.77%,-2.10%,6.43%," $        1,435.84 ", $             144.95 , $         220.39 , $            434.11 ,41.95%,45.82%,37.29%,,2.73%,39.90%,-0.93%,-4.70%,3.60%,
1959,12.06%,3.39%,-2.65%,1.57%," $        1,608.95 ", $             149.86 , $         214.56 , $            440.95 ,8.67%,14.70%,10.48%,,1.01%,10.94%,2.35%,-3.62%,0.56%,
1960,0.34%,2.88%,11.64%,6.66%," $        1,614.37 ", $             154.18 , $         239.53 , $            470.33 ,-2.55%,-11.30%,-6.33%,6.11%,1.46%,-1.11%,1.40%,10.04%,5.13%,
1961,26.64%,2.35%,2.06%,5.10%," $        2,044.40 ", $             157.81 , $         244.46 , $            494.32 ,24.28%,24.58%,21.54%,6.62%,1.07%,25.30%,1.27%,0.98%,3.99%,
1962,-8.81%,2.77%,5.69%,6.50%," $        1,864.26 ", $             162.19 , $         258.38 , $            526.43 ,-11.58%,-14.51%,-15.31%,5.97%,1.20%,-9.89%,1.56%,4.44%,5.23%,
1963,22.61%,3.16%,1.68%,5.46%," $        2,285.80 ", $             167.31 , $         262.74 , $            555.19 ,19.45%,20.93%,17.15%,6.36%,1.24%,21.11%,1.90%,0.44%,4.17%,
1964,16.42%,3.55%,3.73%,5.16%," $        2,661.02 ", $             173.25 , $         272.53 , $            583.85 ,12.87%,12.69%,11.25%,6.53%,1.28%,14.95%,2.24%,2.42%,3.83%,
1965,12.40%,3.95%,0.72%,3.19%," $        2,990.97 ", $             180.09 , $         274.49 , $            602.47 ,8.45%,11.68%,9.21%,6.66%,1.59%,10.65%,2.33%,-0.85%,1.58%,
1966,-9.97%,4.86%,2.91%,-3.45%," $        2,692.74 ", $             188.84 , $         282.47 , $            581.72 ,-14.83%,-12.88%,-6.53%,6.11%,3.02%,-12.61%,1.79%,-0.10%,-6.27%,
1967,23.80%,4.31%,-1.58%,0.90%," $        3,333.69 ", $             196.98 , $         278.01 , $            586.92 ,19.50%,25.38%,22.91%,6.57%,2.77%,20.46%,1.49%,-4.24%,-1.83%,
